Model,geometry,f_res_true,f_res_pred,f_res_err_MHz,S11min_true,S11min_pred,S11min_err_dB,BW_true_MHz,BW_pred_MHz,BW_err_MHz
Random Forest (150),40,2.3970000743866,2.3970000743866,0.0,-21.123783788962,-52.42148200515801,31.29769821619601,69.00000572199971,71.00009918210004,2.000093460100331
Random Forest (150),45,2.3940000534058,2.3929998874664,1.0001659393998885,-14.38401025269,-15.352949030618262,0.9689387779282619,52.99997329710004,55.00006675719993,2.0000934600998903
Random Forest (150),47,2.3880000114441,2.3870000839233,0.9999275207999148,-11.340509059496,-12.291823608685815,0.9513145491898154,29.000043869099823,35.00008583070002,6.0000419616002
Random Forest (150),52,2.4059998989105,2.404000043869,1.9998550414999094,-8.3291901908807,-8.853516120641816,0.5243259297611154,0.0,0.0,0.0
XGBoost,0,2.4730000495911,2.3980000019073,75.0000476838002,-18.541775145157,-25.739025115966797,7.197249970809796,33.99991989130014,42.000055313100134,8.000135421799996
XGBoost,8,2.4010000228882,2.4170000553131,16.000032424900112,-23.454181331496,-15.783543586730957,7.670637744765042,40.9998893736998,54.00013923649993,13.000249862800132
XGBoost,13,2.3900001049042,2.385999917984,4.0001869202002105,-36.90173593795,-26.79732322692871,10.10441271102129,46.00000381469993,46.00000381469993,0.0
XGBoost,18,2.4509999752045,2.4449999332428,6.00004196170012,-11.685655133294,-22.452836990356445,10.767181857062445,26.000022888200025,29.999971389800262,3.9999485016002367
XGBoost,19,2.4519999027252,2.4449999332428,6.999969482400115,-18.581929361413,-22.59872817993164,4.016798818518641,37.99986839300029,29.999971389800262,7.999897003200029
XGBoost,30,2.3959999084473,2.3940000534058,1.9998550414999094,-21.427200484255998,-24.080127716064453,2.652927231808455,78.99999618530006,72.99995422359996,6.000041961700106
XGBoost,31,2.3980000019073,2.3980000019073,0.0,-24.879161259311,-27.689472198486328,2.810310939175327,84.00011062629974,81.00008964539995,3.000020980899791
XGBoost,38,2.3949999809265,2.3940000534058,0.9999275206999947,-27.359127727739,-25.2352352142334,2.123892513505602,66.99991226199975,65.00005722039992,1.9998550415998295
XGBoost,41,2.3980000019073,2.3980000019073,0.0,-19.681770833663,-22.848072052001953,3.1663012183389547,69.99993324280007,69.00000572199971,0.9999275208003553
XGBoost,49,2.3910000324249,2.3940000534058,3.000020980899798,-11.132181757703,-10.253177642822266,0.8790041148807344,26.000022888200025,10.999917983999907,15.000104904200118
XGBoost,4,2.4000000953674,2.3980000019073,2.0000934601003273,-26.740244578527,-13.265352249145508,13.474892329381493,42.99998283380013,33.999919891400054,9.000062942400078
XGBoost,9,2.3840000629425,2.385999917984,1.9998550414999094,-19.998909269943,-22.66240882873535,2.6634995587923527,49.00002479560017,52.99997329710004,3.9999485014998726
XGBoost,14,2.4260001182556,2.3900001049042,36.000013351400014,-23.0230862050011,-31.49712562561035,8.474039420609252,52.00004577640005,46.00000381469993,6.00004196170012
XGBoost,16,2.4319999217987,2.3900001049042,41.999816894499716,-16.730258868146,-31.49712562561035,14.766866757464353,28.000116348199988,46.00000381469993,17.999887466499942
XGBoost,17,2.4379999637604,2.4449999332428,6.999969482400115,-10.776960574501,-11.479994773864746,0.7030341993637457,9.999990463300357,14.999866485600144,4.999876022299787
XGBoost,28,2.3940000534058,2.3900001049042,3.9999485015997926,-16.38999103207,-17.491172790527344,1.1011817584573436,65.99998474119984,69.00000572200015,3.000020980800315
XGBoost,34,2.3949999809265,2.3940000534058,0.9999275206999947,-33.022843236116,-25.60459327697754,7.418249959138464,75.99997520450019,77.00014114380016,1.0001659392999755
XGBoost,35,2.3970000743866,2.3940000534058,3.000020980799878,-61.784445329333,-27.6319637298584,34.152481599474605,77.00014114380016,77.00014114380016,0.0
XGBoost,43,2.3919999599457,2.3900001049042,1.9998550414999094,-16.64990747909,-17.093891143798828,0.4439836647088278,55.00006675719993,54.00013923640002,0.9999275207999148
XGBoost,50,2.3949999809265,2.3900001049042,4.999876022299787,-10.257995278342,-11.108572959899902,0.8505776815579029,13.000011444100235,26.99995040899994,13.999938964899705
XGBoost,3,2.4030001163483,2.3980000019073,5.000114441000125,-11.700381621327,-17.810651779174805,6.110270157847804,29.999971389800262,38.000106811499904,8.000135421699643
XGBoost,5,2.4200000762939,2.4100000858307,9.999990463199993,-29.994411043104,-22.73349380493164,7.260917238172361,51.000118255600135,46.00000381469993,5.000114440900205
XGBoost,10,2.385999917984,2.3819999694824,3.9999485015997926,-21.85497796376,-19.83722496032715,2.0177530034328512,49.00002479549981,46.00000381469993,3.0000209807998814
XGBoost,15,2.4200000762939,2.3980000019073,22.000074386600232,-18.15469827289,-16.55851936340332,1.596178909486678,36.00001335149994,46.00000381469993,9.999990463199993
XGBoost,20,2.4470000267029,2.4409999847412,6.00004196170012,-23.51289943759,-12.126755714416504,11.386143723173497,32.99999237060014,21.99983596810018,11.000156402499961
XGBoost,25,2.404000043869,2.4019999504089,2.000093460099883,-17.088875132172,-31.75918960571289,14.670314473540891,46.00000381469993,46.00000381469993,0.0
XGBoost,29,2.3940000534058,2.3940000534058,0.0,-18.426548199326,-21.405332565307617,2.9787843659816176,72.00002670289996,72.99995422359996,0.9999275206999982
XGBoost,32,2.3940000534058,2.3940000534058,0.0,-22.114634008256,-38.49622344970703,16.38158944145103,69.00000572210007,65.00005722039992,3.999948501700146
